INDEX OF INDUSTRIAL PRODUCTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Base 2011-12),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly indices of industrial production as per use-based classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Use-based category,Weight,04/12,05/12,06/12,07/12,08/12,09/12,10/12,11/12,12/12,01/13,02/13,03/13,04/13,05/13,06/13,07/13,08/13,09/13,10/13,11/13,12/13,01/14,02/14,03/14,04/14,05/14,06/14,07/14,08/14,09/14,10/14,11/14,12/14,01/15,02/15,03/15,04/15,05/15,06/15,07/15,08/15,09/15,10/15,11/15,12/15,01/16,02/16,03/16,04/16,05/16,06/16,07/16,08/16,09/16,10/16,11/16,12/16,01/17,02/17,03/17,04/17,05/17,06/17,07/17,08/17,09/17,10/17,11/17,12/17,01/18,02/18,03/18,04/18,05/18,06/18,07/18,08/18,09/18,10/18,11/18,12/18,01/19,02/19,03/19,04/19,05/19,06/19,07/19,08/19,09/19,10/19,11/19,12/19,01/20,02/20,03/20,04/20,05/20,06/20,07/20,08/20,09/20,10/20,11/20,12/20,01/21,02/21,03/21,04/21,05/21,06/21,07/21,08/21,09/21,10/21,11/21,12/21,01/22,02/22,03/22,04/22,05/22,06/22,07/22,08/22,09/22,10/22,11/22,12/22,01/23,02/23,03/23,04/23,05/23,06/23,07/23,08/23,09/23,10/23,11/23,12/23,01/24,02/24,03/24,04/24,05/24,06/24,07/24,08/24,09/24,10/24,11/24,12/24,01/25
Primary goods,34.0486,98.2,104.0,99.7,98.9,96.5,92.4,102.5,98.3,104.6,105.9,95.4,109.7,98.0,103.7,97.2,100.3,100.2,100.0,100.1,99.8,109.3,109.7,101.3,114.4,103.5,107.3,105.6,103.1,103.5,101.7,107.0,106.8,111.8,112.4,103.4,114.1,100.4,112.4,107.9,108.6,111.1,107.4,113.3,110.9,114.8,117.5,114.3,125.2,113.1,117.6,116.7,113.2,110.0,109.8,119.2,117.0,123.3,122.0,115.2,132.5,116.5,122.0,116.4,115.7,117.8,117.0,122.1,120.9,128.0,129.2,119.5,136.5,119.7,129.0,127.1,123.6,120.7,120.0,129.5,124.8,126.6,131.0,121.1,140.0,125.8,131.9,127.8,128.1,121.9,113.8,121.7,124.5,129.6,133.4,131.0,134.4,92.4,106.0,109.3,114.3,108.8,112.1,117.9,122.2,130.1,134.4,125.0,145.0,126.5,122.8,122.4,128.5,127.2,117.3,128.5,126.5,133.7,136.5,130.8,153.2,139.5,144.7,139.3,131.7,129.4,128.5,131.2,132.6,145.0,149.9,139.9,158.3,142.2,149.9,146.7,141.8,145.4,138.8,146.1,143.8,151.9,154.3,148.2,163.1,152.2,160.9,156.0,150.1,141.6,141.3,149.8,147.7,157.7,162.8
Capital goods,8.2230,89.5,98.7,101.9,97.0,101.9,102.8,95.5,90.9,101.5,93.8,100.2,130.1,89.8,99.6,91.9,93.0,94.9,96.7,94.1,92.6,97.0,93.2,98.7,117.8,82.4,92.8,100.8,94.4,91.7,104.5,82.2,88.1,99.0,88.3,100.1,121.9,85.5,88.3,92.6,89.7,94.3,107.0,98.9,93.7,103.7,99.4,104.4,123.1,93.4,101.3,106.3,97.6,94.8,99.0,94.3,98.7,97.3,98.8,101.9,134.7,88.9,99.7,99.8,96.5,101.7,107.6,97.6,104.3,110.1,111.1,118.8,130.5,97.6,106.1,109.5,98.7,112.2,115.0,114.1,100.0,114.7,107.1,107.7,118.6,96.2,103.9,101.9,91.8,88.7,91.4,88.5,91.1,93.7,102.4,97.4,72.6,7.0,35.4,63.8,70.9,75.9,90.3,91.3,84.3,95.8,93.2,93.3,109.2,79.0,61.9,81.2,92.4,91.1,93.3,89.8,82.1,92.9,94.9,94.5,111.8,88.5,94.9,104.4,97.1,95.0,103.9,87.2,99.1,100.1,104.9,104.9,123.0,92.4,102.6,107.4,102.1,107.4,112.6,106.1,98.0,103.8,108.3,106.7,131.6,95.0,105.3,111.3,114.0,107.4,116.5,109.2,106.6,114.6,116.8
Intermediate goods,17.2215,103.6,105.6,103.5,102.7,103.0,104.6,104.7,100.1,108.1,107.7,103.1,114.8,104.2,106.2,105.2,111.0,111.4,110.9,108.2,105.0,113.4,113.1,108.5,121.8,117.1,116.8,116.8,118.2,117.6,117.5,111.2,114.4,117.2,117.1,112.1,123.5,115.7,117.4,114.6,120.2,118.2,119.0,116.8,111.4,119.4,120.0,118.0,130.1,115.4,122.5,121.5,123.2,123.6,121.2,122.3,117.7,121.9,123.9,120.7,134.1,119.6,123.3,120.0,119.8,123.0,123.8,122.6,125.4,131.0,130.6,124.8,137.4,120.1,123.4,121.8,121.4,126.6,125.6,125.5,120.2,129.9,127.0,118.5,154.4,123.7,138.8,136.5,140.4,135.9,134.1,136.4,140.9,146.9,146.8,145.8,125.7,44.6,83.7,108.2,125.4,129.4,133.6,140.7,138.4,150.3,149.7,138.0,153.9,139.6,129.1,132.7,143.7,144.7,142.9,147.2,141.3,151.8,153.5,143.7,156.6,149.5,151.7,146.6,149.0,146.6,145.3,143.8,146.3,154.1,155.6,145.1,159.4,152.0,156.9,154.2,153.8,157.4,154.2,157.5,151.3,159.8,163.8,157.6,169.2,157.8,162.4,159.1,164.6,162.3,160.8,165.0,158.6,170.0,172.3
Infrastructure/ construction goods,12.3384,103.1,117.4,102.2,106.0,97.2,98.8,101.0,99.4,107.6,110.0,104.1,117.8,114.3,116.0,104.0,110.0,108.5,108.1,105.4,104.8,111.2,120.5,114.2,119.8,114.0,121.8,117.9,119.1,112.2,112.9,115.0,115.5,119.3,122.7,112.5,120.5,118.6,121.9,120.9,120.6,117.3,114.7,116.2,109.4,119.2,125.4,125.0,134.1,119.6,130.9,128.9,119.5,124.9,124.7,124.8,113.7,125.8,128.7,122.6,135.6,125.2,130.8,130.2,124.6,128.3,125.3,132.0,129.3,134.0,138.3,138.5,147.9,135.9,140.8,142.4,136.1,138.6,137.2,143.9,135.5,146.1,147.2,141.1,155.4,135.0,145.0,140.6,140.1,130.7,127.6,129.9,134.5,146.4,146.7,145.0,117.6,20.3,88.4,114.9,128.6,130.7,132.7,144.1,137.3,151.0,150.1,139.9,158.9,144.0,129.5,137.9,144.4,148.3,145.0,153.6,141.5,154.0,158.9,152.0,169.5,149.7,153.3,150.8,151.3,152.8,156.9,156.2,161.7,170.9,176.9,165.7,181.7,169.8,173.2,170.9,170.3,176.8,172.8,175.9,164.2,180.3,186.6,179.5,195.2,184.2,186.3,184.9,179.7,181.5,178.8,184.2,177.5,193.6,199.6
Consumer durables,12.8393,102.0,105.1,104.9,102.2,101.1,107.2,115.1,94.2,103.6,108.2,103.3,111.9,106.1,102.9,104.6,107.0,105.1,116.5,124.5,105.9,109.8,115.9,110.8,120.7,108.4,114.4,108.3,115.3,112.4,126.4,109.4,116.0,116.9,115.5,113.4,126.2,110.3,113.1,116.6,119.7,114.4,122.8,128.8,110.8,123.0,119.1,121.0,129.0,120.6,124.3,121.9,119.9,122.8,135.4,130.7,118.3,116.8,116.7,115.4,128.2,119.7,125.1,117.6,117.0,128.1,129.9,119.0,122.0,119.3,125.6,124.0,136.1,124.4,133.5,133.6,133.5,135.1,136.9,139.7,118.3,124.2,128.7,125.1,131.7,127.1,133.8,120.0,130.3,122.0,122.5,113.3,116.7,117.3,124.0,117.3,83.2,5.5,39.7,78.2,99.4,109.5,129.0,133.8,113.0,124.9,123.9,125.0,133.0,103.3,71.6,100.1,118.7,121.6,131.0,129.5,106.6,122.5,118.5,112.9,128.9,110.7,113.9,125.3,121.4,116.2,123.8,106.1,111.9,108.8,108.8,108.3,118.6,108.1,115.6,116.8,117.0,123.2,125.0,123.0,106.5,114.5,121.4,121.9,129.9,119.5,130.2,127.1,126.6,129.8,132.9,129.8,121.5,124.0,130.2
Consumer non-durables,15.3292,97.0,99.8,104.9,103.7,103.8,98.2,102.4,102.6,117.5,113.2,109.7,120.3,105.1,108.8,105.8,107.9,106.9,106.2,106.4,102.4,119.5,118.0,111.2,121.5,107.2,110.8,109.9,115.3,108.6,108.2,100.3,110.8,124.9,122.1,121.9,130.7,113.3,115.4,109.8,107.7,110.2,109.9,115.6,116.7,131.6,126.4,123.6,125.9,113.5,128.4,122.3,123.3,122.6,123.9,122.1,120.5,131.3,138.5,136.5,135.4,123.5,140.9,128.2,128.3,131.4,136.9,132.1,149.1,153.4,153.3,146.6,154.5,132.8,138.6,128.5,135.1,140.0,145.6,143.4,148.6,163.4,159.2,153.9,156.6,140.0,149.8,138.0,146.6,144.4,144.0,138.6,150.2,158.1,158.3,153.4,121.7,72.7,135.3,147.5,149.3,140.0,147.4,148.7,149.1,161.1,149.8,147.6,157.2,140.0,135.6,141.8,145.9,148.3,147.3,149.7,147.9,161.6,154.4,137.6,150.3,138.9,137.5,145.9,141.7,134.9,138.9,130.3,162.7,174.4,164.4,154.8,147.5,154.7,149.8,146.7,153.5,148.3,142.6,142.4,157.2,179.7,164.9,149.9,155.2,150.9,154.0,145.2,147.1,141.8,145.7,146.4,157.9,166.3,164.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly growth rates of industrial production as per use-based classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UBC,Weight,04/12,05/12,06/12,07/12,08/12,09/12,10/12,11/12,12/12,01/13,02/13,03/13,04/13,05/13,06/13,07/13,08/13,09/13,10/13,11/13,12/13,01/14,02/14,03/14,04/14,05/14,06/14,07/14,08/14,09/14,10/14,11/14,12/14,01/15,02/15,03/15,04/15,05/15,06/15,07/15,08/15,09/15,10/15,11/15,12/15,01/16,02/16,03/16,04/16,05/16,06/16,07/16,08/16,09/16,10/16,11/16,12/16,01/17,02/17,03/17,04/17,05/17,06/17,07/17,08/17,09/17,10/17,11/17,12/17,01/18,02/18,03/18,04/18,05/18,06/18,07/18,08/18,09/18,10/18,11/18,12/18,01/19,02/19,03/19,04/19,05/19,06/19,07/19,08/19,09/19,10/19,11/19,12/19,01/20,02/20,03/20,04/20,05/20,06/20,07/20,08/20,09/20,10/20,11/20,12/20,01/21,02/21,03/21,04/21,05/21,06/21,07/21,08/21,09/21,10/21,11/21,12/21,01/22,02/22,03/22,04/22,05/22,06/22,07/22,08/22,09/22,10/22,11/22,12/22,01/23,02/23,03/23,04/23,05/23,06/23,07/23,08/23,09/23,10/23,11/23,12/23,01/24,02/24,03/24,04/24,05/24,06/24,07/24,08/24,09/24,10/24,11/24,12/24,01/25
